invoice_no,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_amount,date,day,month,year,month/year,quarter,week
I138884,Female,28,Clothing,5,1500.4,Credit Card,5/8/2022,Kanyon,7502.0,2022-08-05,5,8,2022,2022-08,3,31
I317333,Male,21,Shoes,3,1800.51,Debit Card,12/12/2021,Forum Istanbul,5401.53,2021-12-12,12,12,2021,2021-12,4,49
I127801,Male,20,Clothing,1,300.08,Cash,9/11/2021,Metrocity,300.08,2021-11-09,9,11,2021,2021-11,4,45
I173702,Female,66,Shoes,5,3000.85,Credit Card,16/05/2021,Metropol AVM,15004.25,2021-05-16,16,5,2021,2021-05,2,19
I337046,Female,53,Books,4,60.6,Cash,24/10/2021,Kanyon,242.4,2021-10-24,24,10,2021,2021-10,4,42
I227836,Female,28,Clothing,5,1500.4,Credit Card,24/05/2022,Forum Istanbul,7502.0,2022-05-24,24,5,2022,2022-05,2,21
I121056,Female,49,Cosmetics,1,40.66,Cash,13/03/2022,Istinye Park,40.66,2022-03-13,13,3,2022,2022-03,1,10
I293112,Female,32,Clothing,2,600.16,Credit Card,13/01/2021,Mall of Istanbul,1200.32,2021-01-13,13,1,2021,2021-01,1,2
I293455,Male,69,Clothing,3,900.24,Credit Card,4/11/2021,Metrocity,2700.7200000000003,2021-11-04,4,11,2021,2021-11,4,44
I326945,Female,60,Clothing,2,600.16,Credit Card,22/08/2021,Kanyon,1200.32,2021-08-22,22,8,2021,2021-08,3,33
I306368,Female,36,Food & Beverage,2,10.46,Cash,25/12/2022,Metrocity,20.92,2022-12-25,25,12,2022,2022-12,4,51
I139207,Female,29,Books,1,15.15,Credit Card,28/10/2022,Emaar Square Mall,15.15,2022-10-28,28,10,2022,2022-10,4,43
I640508,Female,67,Toys,4,143.36,Debit Card,31/07/2022,Metrocity,573.44,2022-07-31,31,7,2022,2022-07,3,30
I179802,Male,25,Clothing,2,600.16,Cash,17/11/2022,Cevahir AVM,1200.32,2022-11-17,17,11,2022,2022-11,4,46
I336189,Female,67,Clothing,2,600.16,Credit Card,3/6/2022,Kanyon,1200.32,2022-06-03,3,6,2022,2022-06,2,22
I688768,Male,24,Shoes,5,3000.85,Credit Card,7/11/2021,Viaport Outlet,15004.25,2021-11-07,7,11,2021,2021-11,4,44
I294687,Male,65,Books,2,30.3,Debit Card,16/01/2021,Metrocity,60.6,2021-01-16,16,1,2021,2021-01,1,2
I195744,Female,42,Food & Beverage,3,15.69,Credit Card,5/1/2022,Zorlu Center,47.07,2022-01-05,5,1,2022,2022-01,1,1
I993048,Female,46,Clothing,2,600.16,Cash,26/07/2021,Metropol AVM,1200.32,2021-07-26,26,7,2021,2021-07,3,30
I992454,Male,24,Toys,4,143.36,Cash,7/3/2023,Cevahir AVM,573.44,2023-03-07,7,3,2023,2023-03,1,10
I183746,Male,23,Clothing,1,300.08,Credit Card,15/02/2023,Emaar Square Mall,300.08,2023-02-15,15,2,2023,2023-02,1,7
I412481,Female,27,Food & Beverage,1,5.23,Cash,1/5/2021,Cevahir AVM,5.23,2021-05-01,1,5,2021,2021-05,2,17
I823067,Male,52,Clothing,2,600.16,Credit Card,18/06/2022,Cevahir AVM,1200.32,2022-06-18,18,6,2022,2022-06,2,24
I252275,Male,44,Technology,5,5250.0,Cash,26/10/2021,Kanyon,26250.0,2021-10-26,26,10,2021,2021-10,4,43
I174250,Female,42,Books,5,75.75,Cash,16/12/2022,Metrocity,378.75,2022-12-16,16,12,2022,2022-12,4,50
I195396,Male,51,Toys,2,71.68,Debit Card,16/05/2021,Istinye Park,143.36,2021-05-16,16,5,2021,2021-05,2,19
I196704,Female,25,Cosmetics,5,203.3,Credit Card,20/04/2022,Mall of Istanbul,1016.5,2022-04-20,20,4,2022,2022-04,2,16
I217053,Male,50,Shoes,4,2400.68,Cash,10/10/2022,Emaar Square Mall,9602.72,2022-10-10,10,10,2022,2022-10,4,41
I655874,Female,65,Shoes,3,1800.51,Cash,23/08/2022,Cevahir AVM,5401.53,2022-08-23,23,8,2022,2022-08,3,34
I209744,Male,29,Cosmetics,3,121.98,Credit Card,29/04/2021,Istinye Park,365.94,2021-04-29,29,4,2021,2021-04,2,17
I161949,Female,66,Toys,3,107.52,Debit Card,4/7/2022,Mall of Istanbul,322.56,2022-07-04,4,7,2022,2022-07,3,27
I331891,Male,23,Clothing,1,300.08,Credit Card,21/11/2021,Emaar Square Mall,300.08,2021-11-21,21,11,2021,2021-11,4,46
I768348,Female,32,Shoes,3,1800.51,Credit Card,23/02/2022,Kanyon,5401.53,2022-02-23,23,2,2022,2022-02,1,8
I109053,Male,51,Clothing,4,1200.32,Debit Card,11/7/2021,Metrocity,4801.28,2021-07-11,11,7,2021,2021-07,3,27
I167211,Female,66,Shoes,4,2400.68,Credit Card,30/08/2022,Zorlu Center,9602.72,2022-08-30,30,8,2022,2022-08,3,35
I339732,Male,68,Food & Beverage,1,5.23,Credit Card,4/1/2023,Emaar Square Mall,5.23,2023-01-04,4,1,2023,2023-01,1,1
I147062,Male,43,Clothing,5,1500.4,Credit Card,21/06/2022,Kanyon,7502.0,2022-06-21,21,6,2022,2022-06,2,25
I187519,Female,59,Clothing,2,600.16,Credit Card,8/7/2022,Metrocity,1200.32,2022-07-08,8,7,2022,2022-07,3,27
I106674,Male,54,Clothing,2,600.16,Cash,27/02/2022,Kanyon,1200.32,2022-02-27,27,2,2022,2022-02,1,8
I473411,Male,24,Clothing,1,300.08,Cash,19/12/2022,Metropol AVM,300.08,2022-12-19,19,12,2022,2022-12,4,51
I246550,Female,49,Food & Beverage,3,15.69,Cash,10/9/2021,Zorlu Center,47.07,2021-09-10,10,9,2021,2021-09,3,36
I138674,Male,67,Cosmetics,2,81.32,Credit Card,14/02/2022,Metropol AVM,162.64,2022-02-14,14,2,2022,2022-02,1,7
I752693,Female,48,Cosmetics,3,121.98,Cash,28/04/2022,Metrocity,365.94,2022-04-28,28,4,2022,2022-04,2,17
I826174,Female,40,Shoes,4,2400.68,Cash,20/06/2022,Metrocity,9602.72,2022-06-20,20,6,2022,2022-06,2,25
I296025,Female,41,Shoes,3,1800.51,Credit Card,21/04/2022,Kanyon,5401.53,2022-04-21,21,4,2022,2022-04,2,16
I117291,Male,46,Books,5,75.75,Credit Card,9/12/2022,Zorlu Center,378.75,2022-12-09,9,12,2022,2022-12,4,49
I267193,Female,19,Cosmetics,3,121.98,Credit Card,12/1/2023,Mall of Istanbul,365.94,2023-01-12,12,1,2023,2023-01,1,2
I205366,Female,43,Clothing,4,1200.32,Debit Card,7/11/2022,Zorlu Center,4801.28,2022-11-07,7,11,2022,2022-11,4,45
