order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,cost,marketing_cost,session_id,purchased,refunded,cart_created,cart_purchased
1,27,2025-12-13,1094,1,22,22,15.33,36.23,90,1,0,1,1
2,60,2025-09-16,1077,5,226,1130,466.37,5.93,204,0,0,1,0
3,2,2025-03-23,1089,5,224,1120,546.76,19.79,285,1,0,1,1
4,25,2025-07-03,1044,2,120,240,187.89,26.13,827,1,0,1,1
5,142,2025-05-31,1080,1,245,245,150.55,26.65,883,1,0,1,1
6,59,2025-05-29,1010,3,108,324,220.91,34.94,888,0,0,1,0
7,95,2025-07-01,1026,1,204,204,104.28,28.46,719,1,0,1,1
8,70,2025-11-24,1088,1,97,97,59.52,24.49,702,1,0,1,1
9,81,2025-07-25,1034,3,38,114,56.04,7.32,581,0,0,1,0
10,118,2025-03-15,1033,3,118,354,234.41,9.89,763,1,0,1,1
11,103,2025-07-05,1028,5,285,1425,719.76,39.91,142,1,0,1,1
12,29,2025-03-20,1080,5,262,1310,571.64,10.6,697,0,0,1,0
13,65,2025-10-11,1001,4,42,168,93.06,28.81,118,1,0,1,1
14,41,2025-08-21,1000,5,146,730,516.43,38.38,897,1,0,1,1
15,161,2025-06-02,1081,3,266,798,562.42,22.77,204,1,0,1,1
16,136,2025-01-01,1076,2,201,402,283.41,16.35,20,1,0,1,1
17,15,2025-05-04,1072,1,195,195,146.54,38.14,88,1,0,1,1
18,169,2025-09-01,1070,4,45,180,142.41,10.78,541,1,0,1,1
19,177,2025-04-13,1091,5,226,1130,887.89,15.91,688,1,0,1,1
20,17,2025-06-23,1002,3,234,702,533.41,25.59,236,1,0,1,1
21,18,2025-01-17,1042,5,122,610,245.75,7.48,244,1,1,1,1
22,147,2025-10-23,1060,3,258,774,375.93,13.5,485,0,0,1,0
23,106,2025-08-28,1093,4,107,428,187.35,6.9,670,1,0,1,1
24,64,2025-04-09,1024,1,41,41,23.0,23.77,144,1,0,1,1
25,114,2025-10-09,1012,4,103,412,210.7,6.77,554,1,0,1,1
26,125,2025-09-04,1027,1,57,57,43.92,35.26,61,1,0,1,1
27,117,2025-05-27,1054,2,204,408,163.55,29.38,749,1,0,1,1
28,149,2025-10-05,1007,5,259,1295,598.18,31.18,59,1,0,1,1
29,131,2025-02-11,1023,1,254,254,152.69,7.4,70,1,0,1,1
30,153,2025-01-21,1079,2,216,432,193.52,7.87,674,1,0,1,1
31,81,2025-05-03,1033,5,299,1495,910.62,18.85,688,1,0,1,1
32,118,2025-11-15,1072,3,244,732,385.38,39.86,76,1,1,1,1
33,90,2025-02-05,1031,5,119,595,358.4,17.93,162,0,0,1,0
34,168,2025-09-28,1001,4,288,1152,784.99,28.38,568,1,0,1,1
35,30,2025-02-24,1095,3,63,189,146.58,24.36,279,0,0,1,0
36,68,2025-09-16,1062,3,117,351,241.15,13.79,867,1,0,1,1
37,86,2025-03-08,1081,1,57,57,37.26,39.29,166,1,1,1,1
38,177,2025-03-18,1069,4,292,1168,796.89,6.26,379,1,0,1,1
39,79,2025-07-06,1005,5,292,1460,670.49,36.46,216,0,0,1,0
40,159,2025-03-21,1030,2,62,124,67.14,35.26,820,1,0,1,1
41,106,2025-12-09,1094,2,221,442,181.18,33.38,274,1,0,1,1
42,121,2025-04-24,1025,2,65,130,71.89,33.58,472,0,0,1,0
43,169,2025-04-09,1051,3,166,498,362.65,16.49,886,1,0,1,1
44,138,2025-06-19,1003,1,152,152,82.15,9.04,268,1,0,1,1
45,81,2025-08-12,1077,2,145,290,120.44,39.45,119,1,0,1,1
46,138,2025-12-18,1092,4,107,428,214.81,37.91,755,1,1,1,1
47,160,2025-06-10,1084,2,196,392,224.43,34.68,738,1,0,1,1
48,76,2025-10-11,1016,3,269,807,422.64,11.71,681,1,0,1,1
49,1,2025-06-05,1036,4,99,396,255.9,12.36,805,1,0,1,1
50,122,2025-03-28,1084,5,174,870,509.82,7.97,528,1,0,1,1
51,80,2025-04-26,1025,5,181,905,395.81,10.16,48,1,0,1,1
52,162,2025-10-22,1024,2,253,506,326.12,30.14,394,1,0,1,1
53,28,2025-08-06,1028,4,214,856,425.94,11.16,713,1,1,1,1
54,117,2025-03-10,1059,5,247,1235,518.81,28.37,573,1,0,1,1
55,130,2025-08-07,1070,5,172,860,670.81,20.61,163,1,0,1,1
56,134,2025-09-06,1080,4,240,960,483.53,13.37,451,1,0,1,1
