campaign_id,campaign_name,platform,impressions,clicks,leads,customers,ad_spend,revenue,retained_customers,total_customers,brand_score,brand_mentions,industry_mentions,likes,comments,shares,followers
1,Campaign 1,LinkedIn,34184,545,194,50,7814,22170.1,28,50,52,222,6535,9435,139,624,38657
2,Campaign 2,LinkedIn,65990,8938,1110,398,7015,44167.27,378,398,87,1239,18261,9428,479,245,10851
3,Campaign 3,Google Ads,46853,6187,2349,582,9605,28170.28,463,582,72,1508,14891,2174,144,409,44671
4,Campaign 4,Google Ads,16390,2044,753,138,12903,31906.55,106,138,52,2808,8733,6425,641,216,47930
5,Campaign 5,Facebook,25916,3762,852,136,12955,47516.89,114,136,92,1193,16498,3164,429,383,99593
6,Campaign 6,TikTok,23717,2732,1573,332,18002,114758.44,207,332,64,2904,10313,8073,438,296,17331
7,Campaign 7,LinkedIn,65043,1175,440,146,9273,22228.6,145,146,75,2733,12517,5655,267,691,28726
8,Campaign 8,LinkedIn,74436,3031,808,367,18161,64951.9,332,367,73,998,7266,7519,969,617,76784
9,Campaign 9,LinkedIn,134372,4321,624,282,4092,11936.56,181,282,74,2540,12668,7416,660,85,79352
10,Campaign 10,Instagram,70906,9773,1071,455,4253,25901.89,364,455,57,1302,12123,4871,837,676,30730
11,Campaign 11,TikTok,123940,1345,403,168,6354,32062.86,97,168,88,914,7504,5389,911,674,59009
12,Campaign 12,Facebook,47349,4891,2661,267,11121,54844.7,161,267,53,1086,19385,6447,949,334,84364
13,Campaign 13,TikTok,25645,606,308,134,2767,21770.5,83,134,60,1185,13645,2603,725,506,89507
14,Campaign 14,LinkedIn,115923,16959,5165,1339,10714,47076.82,1334,1339,57,1115,8681,6618,498,549,18392
15,Campaign 15,Google Ads,93627,1280,730,356,8040,44466.35,179,356,64,376,19834,1663,774,666,14117
16,Campaign 16,Facebook,91619,2076,694,211,16406,53900.61,121,211,100,2037,18230,9855,640,504,63354
17,Campaign 17,Google Ads,54914,1321,231,107,14624,60335.49,79,107,93,2776,15587,8151,934,766,22899
18,Campaign 18,LinkedIn,20889,1857,930,266,4080,14247.11,181,266,61,1240,12579,9286,509,163,42742
19,Campaign 19,LinkedIn,24761,2062,406,52,18213,127785.42,28,52,80,975,19166,4372,220,436,62565
20,Campaign 20,TikTok,20370,877,281,28,13293,47738.07,26,28,92,2093,7536,7954,342,453,34890
21,Campaign 21,Facebook,82780,4393,678,98,10776,25248.08,86,98,53,2180,6312,8311,564,563,34356
22,Campaign 22,Google Ads,22962,2666,405,100,13730,37336.26,86,100,89,435,11868,4533,642,628,96163
23,Campaign 23,Instagram,142044,11786,3314,749,10795,37049.69,576,749,79,1395,17318,2644,737,680,19508
24,Campaign 24,Instagram,7441,1012,419,185,3776,9211.79,119,185,54,1100,11054,8788,321,155,47353
25,Campaign 25,TikTok,46352,4052,2112,767,10412,59036.73,717,767,69,2817,6697,9166,58,703,27601
26,Campaign 26,Facebook,74328,2634,482,238,18628,54630.1,155,238,93,2697,18974,3950,784,371,44600
27,Campaign 27,Facebook,137489,17382,5852,793,3524,20459.31,537,793,90,1172,7647,1222,53,361,67912
28,Campaign 28,TikTok,149619,15510,6145,653,4165,10210.34,402,653,85,706,12041,9438,86,398,26704
29,Campaign 29,Instagram,15965,1421,515,254,1807,13360.14,180,254,99,2393,19485,4588,732,125,63264
30,Campaign 30,LinkedIn,45515,2394,571,261,6301,45924.82,136,261,92,1116,9371,3438,804,360,30866
31,Campaign 31,Facebook,33336,3466,425,162,7788,24901.64,139,162,51,2803,8164,6228,362,253,62227
32,Campaign 32,Google Ads,91051,5474,831,225,12006,70221.78,163,225,66,831,14512,9285,389,48,44795
33,Campaign 33,Facebook,15028,594,281,72,10778,49776.72,68,72,66,281,16612,2394,444,610,67154
34,Campaign 34,Google Ads,5443,586,333,83,12434,57044.51,83,83,96,1330,13308,5909,688,341,50538
35,Campaign 35,Facebook,112057,6464,2294,942,10188,54266.13,569,942,89,2431,9930,7388,730,408,63225
36,Campaign 36,LinkedIn,148638,1499,460,119,7387,33827.5,96,119,93,975,13375,5779,526,472,72021
37,Campaign 37,Facebook,49483,5891,936,238,17390,104046.51,198,238,93,1371,8680,5991,145,789,36100
38,Campaign 38,TikTok,43627,636,86,23,16069,91073.37,23,23,62,2952,11291,1693,516,444,74799
39,Campaign 39,Facebook,109766,5094,1113,446,681,5009.41,443,446,61,2950,13486,2246,847,455,70889
40,Campaign 40,Instagram,18164,2464,756,137,15457,43280.14,127,137,98,1912,15037,9202,622,629,76162
41,Campaign 41,Facebook,116867,14776,5965,2422,5715,36929.95,2183,2422,90,1235,17547,7873,315,789,78327
42,Campaign 42,TikTok,132034,9159,3164,1216,3038,19082.5,848,1216,55,666,7471,4951,393,347,40311
43,Campaign 43,LinkedIn,105410,12423,2493,972,7510,17914.15,694,972,53,947,18646,5921,605,497,65069
44,Campaign 44,Google Ads,107099,15894,7895,3181,1140,8140.05,3157,3181,72,1323,17344,9932,439,508,61116
45,Campaign 45,Instagram,114843,9966,5469,1449,16498,54716.11,1170,1449,92,2881,18076,8456,79,418,62994
46,Campaign 46,Google Ads,48265,4310,953,413,18002,38916.7,306,413,91,1855,7223,9746,728,47,70515
47,Campaign 47,Instagram,52639,937,226,70,11226,36708.59,55,70,98,1826,9133,6029,829,408,20735
48,Campaign 48,Google Ads,128288,1917,958,371,2206,17646.78,274,371,98,227,9051,4173,715,90,36130
49,Campaign 49,Instagram,10342,1375,293,59,4636,22444.57,32,59,99,1610,7749,9740,273,496,89415
50,Campaign 50,LinkedIn,35024,1691,487,75,19462,41922.52,56,75,95,912,6245,9933,743,404,87607
51,Campaign 51,LinkedIn,68661,2355,852,392,4466,30267.7,340,392,92,1617,6129,1172,405,565,76317
52,Campaign 52,LinkedIn,94451,1151,545,264,16562,43611.61,224,264,61,2237,15657,8032,774,176,45400
53,Campaign 53,Facebook,146078,17303,9346,2718,19914,71896.97,1861,2718,98,2003,14336,1919,335,481,89997
54,Campaign 54,Instagram,104349,6554,772,330,11150,34465.09,219,330,67,2541,16488,6313,866,284,46211
55,Campaign 55,LinkedIn,7661,1134,308,40,8408,53142.33,35,40,91,2110,12342,9596,826,266,12260
56,Campaign 56,Instagram,29393,2703,723,279,8472,32509.06,233,279,77,2354,10419,8253,616,563,56112
57,Campaign 57,TikTok,123946,10116,3522,866,8054,21938.57,531,866,98,2926,8033,5669,172,780,35105
58,Campaign 58,Instagram,61723,8550,3120,1519,17691,98728.95,861,1519,61,1338,5231,3680,353,252,80010
59,Campaign 59,TikTok,38182,2628,355,48,18632,69922.54,28,48,68,2022,12843,8542,155,32,67733
60,Campaign 60,LinkedIn,94314,3963,2373,289,8773,67081.71,266,289,81,403,14453,2369,891,86,92502
61,Campaign 61,TikTok,19053,811,157,53,3291,26207.91,29,53,88,2633,8697,9643,832,446,78494
62,Campaign 62,TikTok,104713,8428,4468,1054,19784,157088.67,839,1054,97,506,17496,9816,685,81,37235
63,Campaign 63,LinkedIn,60318,4938,825,162,8359,25435.44,90,162,94,2532,12699,3064,52,438,48175
64,Campaign 64,TikTok,13556,609,207,56,15377,37321.19,35,56,92,910,11965,4834,856,660,25043
65,Campaign 65,TikTok,147753,8843,2104,482,5160,12530.85,283,482,68,1898,7037,5539,659,786,71433
66,Campaign 66,LinkedIn,84715,12311,4528,1009,16899,88548.89,728,1009,97,1420,14891,1817,662,60,42816
67,Campaign 67,Facebook,11780,304,88,44,19738,152075.72,43,44,80,2225,15674,4915,640,61,67963
68,Campaign 68,Instagram,77917,3752,1573,603,16612,129811.67,541,603,92,528,19053,6200,468,361,31079
